image_id,split,label,stress_ratio,valid_area,stressed_area,has_planter_skip
Y3RA9WAPY_3892-15459-4404-15971,train,1,0.211796,262144,55521,False
2L3ZGKHJL_2342-4966-2854-5478,train,0,0.076462,262144,20044,False
GID71T4G7_2931-3401-3443-3913,train,1,0.316525,262144,82975,False
Q1PVN4ABJ_2796-16182-3308-16694,train,2,0.510081,186000,94875,False
VQL2C9LLF_2311-747-2823-1259,train,2,-1.0,-1,-1,True
NWTIEC88G_2667-3125-3179-3637,train,2,0.482666,262144,126528,False
9UH84W49V_11673-614-12185-1126,train,1,0.256822,183769,47196,False
1HBK68KTK_1902-3112-2414-3624,train,1,0.326202,262144,85512,False
KDWEVLH7Z_3154-800-3666-1312,train,2,-1.0,-1,-1,True
BFLBNW4AZ_3399-1797-3911-2309,train,1,0.377388,262144,98930,False
32RXNG4RV_4666-2361-5178-2873,train,1,0.181806,147025,26730,False
T89JYE12U_878-4738-1390-5250,train,0,0.040817,262144,10700,False
TWTAETC1H_3968-2478-4480-2990,train,2,-1.0,-1,-1,True
QHMLGBFVF_3870-1987-4382-2499,train,0,0.039021,262144,10229,False
91MB8NI61_1669-509-2181-1021,train,1,0.338081,136852,46267,False
Q1PVN4ABJ_4502-7711-5014-8223,train,1,0.148248,257616,38191,False
WVLNWZ83A_786-8965-1298-9477,train,1,0.256939,262144,67355,False
Q1PVN4ABJ_7012-11869-7524-12381,train,1,0.398106,262144,104361,False
2L3ZGKHJL_4447-7669-4959-8181,train,2,0.614234,223778,137452,False
2L3ZGKHJL_1104-1501-1616-2013,train,0,0.089298,262144,23409,False
DRTG1HAUZ_7579-4652-8091-5164,train,2,0.412659,262144,108176,False
1LVU94MUU_7063-7412-7575-7924,train,2,0.935516,262144,245240,False
V4EJX3X8K_1048-4327-1560-4839,train,0,0.060841,262144,15949,False
Y3RA9WAPY_1100-5636-1612-6148,train,2,0.67744,242640,164374,False
H39M7YG87_7611-1147-8123-1659,train,2,-1.0,-1,-1,True
PF8VJEUKC_9908-8593-10420-9105,train,0,0.0,-1,0,False
1FPBNGD9F_8159-1577-8671-2089,train,2,0.633411,262144,166045,False
86LYFYC79_2254-618-2766-1130,train,1,0.361102,177745,64184,False
WZAD6ITCR_3901-12544-4413-13056,train,2,-1.0,-1,-1,True
8HW1LA37V_3380-11107-3892-11619,train,0,0.0,-1,0,False
YY8EPIW1C_12253-16354-12765-16866,train,1,0.153292,261194,40039,False
M7U9J8NP9_3871-5706-4383-6218,train,0,0.042107,262144,11038,False
LAQC7ZJ8Z_5808-10111-6320-10623,train,2,0.574036,262144,150480,False
XT41Q8F7B_4261-1787-4773-2299,train,2,-1.0,-1,-1,True
7XM38FLV7_4459-5300-4971-5812,train,1,0.202118,262144,52984,False
ZU44K4P2E_1126-1029-1638-1541,train,0,0.054508,262144,14289,False
ZXFCDEDU4_5774-2690-6286-3202,train,0,0.0,-1,0,False
